	#_missing_datasets	missing_datasets	#_datasets_with_wrong_sampleN	datasets_with_wrong_sampleN	#_missing_datatypes	missing_datatypes
CGCI-HTMCP-CC	1	['somaticmutation_targeted']	1	['somaticmutation_targeted']	1	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/Targeted Sequencing']
CMI-ASC	2	['star_counts', 'somaticmutation_wxs']	2	['star_counts', 'somaticmutation_wxs']	2	['Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
CGCI-HTMCP-DLBCL	0	[]	0	[]	0	[]
BEATAML1.0-CRENOLANIB	0	[]	0	[]	0	[]
CDDP_EAGLE-1	4	['star_counts', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs', 'somaticmutation_wxs']	4	['star_counts', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs', 'somaticmutation_wxs']	4	['Gene Level Copy Number/AscatNGS/Illumina/WGS', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS', 'Copy Number Segment/AscatNGS/Illumina/WGS']
APOLLO-LUAD	3	['star_counts', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs']	3	['star_counts', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs']	3	['Gene Level Copy Number/AscatNGS/Illumina/WGS', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Copy Number Segment/AscatNGS/Illumina/WGS']
CMI-MPC	2	['star_counts', 'somaticmutation_wxs']	2	['star_counts', 'somaticmutation_wxs']	2	['Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
FM-AD	0	[]	0	[]	0	[]
MATCH-Z1D	0	[]	0	[]	0	[]
MATCH-Y	0	[]	0	[]	0	[]
MATCH-N	0	[]	0	[]	0	[]
MATCH-Q	0	[]	0	[]	0	[]
MP2PRT-WT	4	['star_counts', 'mirna', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs']	4	['star_counts', 'mirna', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs']	4	['Gene Level Copy Number/AscatNGS/Illumina/WGS', 'miRNA Expression Quantification/BCGSC miRNA Profiling/miRNA-Seq', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Copy Number Segment/AscatNGS/Illumina/WGS']
TCGA-LAML	0	[]	1	['somaticmutation_wxs']	0	[]
VAREPOP-APOLLO	0	[]	0	[]	0	[]
TCGA-SKCM	0	[]	1	['somaticmutation_wxs']	0	[]
TRIO-CRU	0	[]	0	[]	0	[]
TCGA-PAAD	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-TGCT	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-CESC	0	[]	0	[]	0	[]
TCGA-ESCA	2	['allele_cnv_ascat2', 'allele_cnv_ascat3']	2	['allele_cnv_ascat2', 'allele_cnv_ascat3']	2	['Allele-specific Copy Number Segment/ASCAT3/Affymetrix SNP 6.0/Genotyping Array', 'Allele-specific Copy Number Segment/ASCAT2/Affymetrix SNP 6.0/Genotyping Array']
TCGA-THCA	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-LIHC	1	['methylation450']	2	['somaticmutation_wxs', 'methylation450']	1	['Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array']
TCGA-PRAD	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-READ	1	['somaticmutation_wxs']	1	['somaticmutation_wxs']	1	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
MATCH-I	0	[]	0	[]	0	[]
MATCH-W	0	[]	0	[]	0	[]
MATCH-B	0	[]	0	[]	0	[]
MATCH-H	0	[]	0	[]	0	[]
TCGA-OV	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-UVM	0	[]	0	[]	0	[]
MATCH-Z1A	0	[]	0	[]	0	[]
MATCH-U	0	[]	0	[]	0	[]
BEATAML1.0-COHORT	0	[]	2	['somaticmutation_wxs', 'somaticmutation_targeted']	0	[]
TCGA-BLCA	1	['methylation450']	2	['somaticmutation_wxs', 'methylation450']	1	['Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array']
CGCI-BLGSP	0	[]	1	['somaticmutation_targeted']	0	[]
CTSP-DLBCL1	0	[]	0	[]	0	[]
MATCH-S1	0	[]	0	[]	0	[]
MATCH-R	0	[]	0	[]	0	[]
MATCH-Z1I	0	[]	0	[]	0	[]
CPTAC-3	1	['somaticmutation_wxs']	1	['somaticmutation_wxs']	1	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
TCGA-CHOL	0	[]	0	[]	0	[]
TCGA-GBM	0	[]	1	['somaticmutation_wxs']	0	[]
MATCH-S2	0	[]	0	[]	0	[]
TCGA-UCS	0	[]	0	[]	0	[]
TCGA-PCPG	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-MESO	0	[]	1	['somaticmutation_wxs']	0	[]
TARGET-CCSK	1	['allele_cnv_ascat2']	1	['allele_cnv_ascat2']	1	['Allele-specific Copy Number Segment/ASCAT2/Affymetrix SNP 6.0/Genotyping Array']
TARGET-WT	1	['methylation450']	1	['methylation450']	1	['Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array']
TARGET-RT	0	[]	0	[]	0	[]
TCGA-DLBC	1	['somaticmutation_wxs']	1	['somaticmutation_wxs']	1	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
TARGET-OS	4	['allele_cnv_ascat2', 'gene-level_ascat2', 'somaticmutation_targeted', 'methylation450']	5	['allele_cnv_ascat2', 'gene-level_ascat2', 'somaticmutation_wxs', 'somaticmutation_targeted', 'methylation450']	4	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/Targeted Sequencing', 'Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array', 'Gene Level Copy Number/ASCAT2/Affymetrix SNP 6.0/Genotyping Array', 'Allele-specific Copy Number Segment/ASCAT2/Affymetrix SNP 6.0/Genotyping Array']
TCGA-COAD	0	[]	1	['somaticmutation_wxs']	0	[]
REBC-THYR	4	['star_counts', 'mirna', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs']	4	['star_counts', 'mirna', 'segment_cnv_ascat-ngs', 'gene-level_ascat-ngs']	4	['Gene Level Copy Number/AscatNGS/Illumina/WGS', 'miRNA Expression Quantification/BCGSC miRNA Profiling/miRNA-Seq', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Copy Number Segment/AscatNGS/Illumina/WGS']
TCGA-STAD	2	['methylation27', 'methylation450']	3	['somaticmutation_wxs', 'methylation27', 'methylation450']	2	['Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array', 'Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 27/Methylation Array']
TCGA-KIRP	0	[]	0	[]	0	[]
TCGA-THYM	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-KICH	0	[]	0	[]	0	[]
TCGA-LGG	0	[]	1	['somaticmutation_wxs']	0	[]
TARGET-AML	8	['star_counts', 'mirna', 'allele_cnv_ascat2', 'gene-level_ascat2', 'somaticmutation_wxs', 'somaticmutation_targeted', 'methylation27', 'methylation450']	8	['star_counts', 'mirna', 'allele_cnv_ascat2', 'gene-level_ascat2', 'somaticmutation_wxs', 'somaticmutation_targeted', 'methylation27', 'methylation450']	8	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/Targeted Sequencing', 'Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array', 'miRNA Expression Quantification/BCGSC miRNA Profiling/miRNA-Seq', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 27/Methylation Array', 'Gene Level Copy Number/ASCAT2/Affymetrix SNP 6.0/Genotyping Array', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS', 'Allele-specific Copy Number Segment/ASCAT2/Affymetrix SNP 6.0/Genotyping Array']
TCGA-LUSC	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-LUAD	0	[]	1	['somaticmutation_wxs']	0	[]
TCGA-HNSC	0	[]	1	['somaticmutation_wxs']	0	[]
TARGET-NBL	4	['star_counts', 'somaticmutation_wxs', 'somaticmutation_targeted', 'methylation450']	4	['star_counts', 'somaticmutation_wxs', 'somaticmutation_targeted', 'methylation450']	4	['Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/Targeted Sequencing', 'Methylation Beta Value/SeSAMe Methylation Beta Estimation/Illumina Human Methylation 450/Methylation Array', 'Gene Expression Quantification/STAR - Counts/RNA-Seq', 'Masked Somatic Mutation/Aliquot Ensemble Somatic Variant Merging and Masking/WXS']
